model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
o4mini,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_hl_implies_os.rs,TIMEOUT,988098,claude,81078,4,postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_hl_implies_os-20251128-011347/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_hl_implies_os-20251201-221254/verus-repair.log
o4mini,OS,OS__slinkedlist__spec_impl_u__impl2__pop.rs,TIMEOUT,986314,claude-s4,290032,11,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS USELEMMA SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__pop-20251129-145355/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__pop-20251204-141437/verus-repair.log
gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__push.rs,TIMEOUT,983976,claude,594042,16,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP INSTANTIATE_FORALL SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251129-172547/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251202-135702/verus-repair.log
o4mini,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl.rs,TIMEOUT,981969,gpt5,289045,9,postcondition_repair INSTANTIATE_EXISTS CASE_ANALYSIS INSTANTIATE_EXISTS INSTANTIATE_FORALL INSTANTIATE_EXISTS INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251128-014347/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251128-011322/verus-repair.log
gpt5,IR,IR__host_impl_v__impl2__host_noreceive_noclock_next.rs,TIMEOUT,981437,claude,1347439,20,postcondition_repair postcondition_repair postcondition_repair USELEMMA CASE_ANALYSIS USELEMMA CASE_ANALYSIS USELEMMA EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT INSTANTIATE_EXISTS SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251126-135733/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251201-024853/verus-repair.log
gpt5,NR,NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf.rs,TIMEOUT,976341,claude,395336,11,postcondition_repair USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA INSTANTIATE_FORALL USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251128-210659/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251202-043602/verus-repair.log
claude-s4,NR,NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged.rs,FAILED,975585,gpt5,73836,3,postcondition_repair USELEMMA,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged-20251204-051813/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged-20251128-184148/verus-repair.log
claude-s4,IR,IR__host_impl_v__impl2__host_noreceive_noclock_next.rs,FAILED,972598,claude,1347439,20,postcondition_repair postcondition_repair postcondition_repair USELEMMA CASE_ANALYSIS USELEMMA CASE_ANALYSIS USELEMMA EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT INSTANTIATE_EXISTS SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251203-085835/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251201-024853/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n.rs,TIMEOUT,958009,gpt5,109386,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251126-150449/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251126-150901/verus-repair.log
o4mini,OS,OS__slinkedlist__spec_impl_u__impl2__push.rs,TIMEOUT,957673,claude,594042,16,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP INSTANTIATE_FORALL SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251129-152355/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251202-135702/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__spec__derived_invariants_since_beginning_is_stable.rs,FAILED,956479,claude,27222,2,postcondition_repair,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__derived_invariants_since_beginning_is_stable-20251126-103521/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__derived_invariants_since_beginning_is_stable-20251201-044110/verus-repair.log
claude,NR,NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged.rs,FAILED,956325,claude-s4,113715,6,postcondition_repair USELEMMA CASE_ANALYSIS BIT_VECTOR_REASONING plain_text_repair,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251202-021751/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251204-045816/verus-repair.log
o4mini,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper5.rs,FAILED,954049,claude-s4,124857,7,postcondition_repair CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS postcondition_repair USELEMMA,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251129-170947/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251204-150355/verus-repair.log
claude,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl.rs,FAILED,951818,gpt5,289045,9,postcondition_repair INSTANTIATE_EXISTS CASE_ANALYSIS INSTANTIATE_EXISTS INSTANTIATE_FORALL INSTANTIATE_EXISTS INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251201-221426/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251128-011322/verus-repair.log
claude-s4,IR,IR__host_impl_v__impl2__host_model_next_delegate.rs,TIMEOUT,947940,o4mini,785171,16,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS COMPUTE COMPUTE CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS COMPUTE COMPUTE USELEMMA,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__host_impl_v__impl2__host_model_next_delegate-20251203-065218/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_002/o-IR__host_impl_v__impl2__host_model_next_delegate-20251126-135116/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged.rs,TIMEOUT,946211,claude-s4,113715,6,postcondition_repair USELEMMA CASE_ANALYSIS BIT_VECTOR_REASONING plain_text_repair,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251128-222059/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251204-045816/verus-repair.log
gpt5,OS,OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv.rs,TIMEOUT,945272,claude,791061,12,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP ADD_TRIGGER_ASSERT SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251129-160520/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251202-132922/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__interp_vmem_subrange.rs,TIMEOUT,939489,claude-s4,54892,4,postcondition_repair EXTENSIONAL_EQUALITY INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__interp_vmem_subrange-20251127-221703/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__interp_vmem_subrange-20251203-191759/verus-repair.log
o4mini,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_hl_implies_os.rs,TIMEOUT,919457,claude,78712,4,postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_hl_implies_os-20251128-001513/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_hl_implies_os-20251201-220831/verus-repair.log
claude-s4,ST,ST__inv_L_active_metadata_set_after_crash.rs,FAILED,915395,claude,342789,11,postcondition_repair USELEMMA EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC USELEMMA COMPUTE,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__inv_L_active_metadata_set_after_crash-20251204-154803/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__inv_L_active_metadata_set_after_crash-20251202-161257/verus-repair.log
gpt5,IR,IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of.rs,TIMEOUT,914272,claude,127774,8,postcondition_repair COMPUTE EXTENSIONAL_EQUALITY SEQSETMAP SEQSETMAP USELEMMA USELEMMA,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251126-212955/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251201-071117/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__pending_map_is_base_walk.rs,FAILED,913661,claude,87829,3,postcondition_repair CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__pending_map_is_base_walk-20251129-021000/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__pending_map_is_base_walk-20251202-043443/verus-repair.log
claude-s4,NR,NR__impl_u__os_refinement__lemma_map_soundness_equality.rs,FAILED,905759,gpt5,236321,5,postcondition_repair USELEMMA USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251203-193507/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251127-210554/verus-repair.log
o4mini,OS,OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k.rs,FAILED,901795,claude,560528,12,postcondition_repair precondition_repair SEQSETMAP USELEMMA ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA USELEMMA PRECONDITION_REPAIR ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k-20251128-104150/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k-20251202-033526/verus-repair.log
o4mini,ST,ST__inv_L_active_metadata_set_after_crash.rs,TIMEOUT,899535,claude,342789,11,postcondition_repair USELEMMA EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC USELEMMA COMPUTE,all_batch_results-cyy-o4mini/results-batch_007/o-ST__inv_L_active_metadata_set_after_crash-20251129-190830/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__inv_L_active_metadata_set_after_crash-20251202-161257/verus-repair.log
o4mini,OS,OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv.rs,FAILED,892454,claude,791061,12,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP ADD_TRIGGER_ASSERT SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251129-140551/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251202-132922/verus-repair.log
o4mini,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_os_implies_hl.rs,FAILED,885311,claude,128018,5,postcondition_repair INSTANTIATE_EXISTS INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_os_implies_hl-20251128-004513/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_os_implies_hl-20251201-221022/verus-repair.log
claude-s4,OS,OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k.rs,FAILED,878060,claude,560528,12,postcondition_repair precondition_repair SEQSETMAP USELEMMA ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA USELEMMA PRECONDITION_REPAIR ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k-20251204-012629/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k-20251202-033526/verus-repair.log
o4mini,OS,OS__process_manager__process_tree__new_proc_preserve_tree_inv_2.rs,FAILED,878025,claude,70422,4,postcondition_repair CASE_ANALYSIS USELEMMA,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__process_tree__new_proc_preserve_tree_inv_2-20251129-105423/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__process_tree__new_proc_preserve_tree_inv_2-20251202-125455/verus-repair.log
o4mini,OS,OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state_and_set_trap_frame.rs,FAILED,876757,gpt5,326472,9,precondition_repair INSTANTIATE_FORALL postcondition_repair postcondition_repair postcondition_repair SEQSETMAP USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state_and_set_trap_frame-20251129-071241/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state_and_set_trap_frame-20251129-080601/verus-repair.log
claude-s4,OS,OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint.rs,FAILED,867063,claude,563791,11,precondition_repair postcondition_repair USELEMMA USELEMMA USELEMMA ADD_TRIGGER_ASSERT USELEMMA ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251204-121032/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251202-112725/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged.rs,TIMEOUT,864105,claude,104127,5,postcondition_repair CASE_ANALYSIS CASE_ANALYSIS COMPUTE,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged-20251128-214950/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged-20251202-021504/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__lemma_inflight_vaddr_implies_hl_unmap_or_map.rs,TIMEOUT,853272,claude-s4,40495,3,postcondition_repair USELEMMA,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__lemma_inflight_vaddr_implies_hl_unmap_or_map-20251128-000909/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__lemma_inflight_vaddr_implies_hl_unmap_or_map-20251203-193431/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants.rs,FAILED,849666,gpt5,489433,7,postcondition_repair USELEMMA INSTANTIATE_FORALL INSTANTIATE_FORALL USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251126-111201/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251126-114009/verus-repair.log
claude-s4,NR,NR__spec_t__hlspec__next_step_preserves_inv.rs,FAILED,847942,claude,708669,15,postcondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL ADD_TRIGGER_ASSERT SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP ADD_TRIGGER_ASSERT CASE_ANALYSIS INSTANTIATE_EXISTS,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__hlspec__next_step_preserves_inv-20251204-025909/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__hlspec__next_step_preserves_inv-20251202-000120/verus-repair.log
claude-s4,NR,NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf.rs,FAILED,847342,claude,395336,11,postcondition_repair USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA INSTANTIATE_FORALL USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251204-065021/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251202-043602/verus-repair.log
gpt5,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok.rs,TIMEOUT,838238,claude,1469439,13,postcondition_repair EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP NONLINEAR_ARITHMETIC USELEMMA EXTENSIONAL_EQUALITY USELEMMA,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok-20251125-233235/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok-20251130-201604/verus-repair.log
claude-s4,OS,OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2.rs,FAILED,835557,gpt5,147056,6,postcondition_repair INSTANTIATE_FORALL CASE_ANALYSIS USELEMMA CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2-20251204-134727/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2-20251129-153523/verus-repair.log
o4mini,NR,NR__impl_u__l1__impl2__lemma_interp_of_entry_contains_mapping_implies_interp_aux_contains_mapping.rs,TIMEOUT,835452,claude,34712,3,postcondition_repair USELEMMA,all_batch_results-cyy-o4mini/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_of_entry_contains_mapping_implies_interp_aux_contains_mapping-20251127-163730/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_of_entry_contains_mapping_implies_interp_aux_contains_mapping-20251201-145621/verus-repair.log
o4mini,OS,OS__process_manager__impl_base__impl0__block_running_thread_and_set_trap_frame.rs,FAILED,835133,gpt5,199698,7,precondition_repair INSTANTIATE_FORALL postcondition_repair postcondition_repair postcondition_repair USELEMMA,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread_and_set_trap_frame-20251129-073210/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread_and_set_trap_frame-20251129-082852/verus-repair.log
o4mini,OS,OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2.rs,FAILED,827814,gpt5,147056,6,postcondition_repair INSTANTIATE_FORALL CASE_ANALYSIS USELEMMA CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2-20251129-130922/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2-20251129-153523/verus-repair.log
claude-s4,NR,NR__spec_t__mmu__rl2__lemma_step_writenonneg_new_walk_has_pending_map.rs,FAILED,827750,claude,388419,11,postcondition_repair SEQSETMAP SEQSETMAP USELEMMA USELEMMA CASE_ANALYSIS NONLINEAR_ARITHMETIC CASE_ANALYSIS USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonneg_new_walk_has_pending_map-20251204-050022/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonneg_new_walk_has_pending_map-20251202-023926/verus-repair.log
o4mini,IR,IR__delegation_map_v__impl1_to_set.rs,TIMEOUT,825714,claude,124018,6,postcondition_repair SEQSETMAP INDUCTIVE_LEMMA INDUCTION SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_002/o-IR__delegation_map_v__impl1_to_set-20251126-075356/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__delegation_map_v__impl1_to_set-20251130-223800/verus-repair.log
claude,NR,NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged.rs,FAILED,823017,gpt5,73836,3,postcondition_repair USELEMMA,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged-20251202-025824/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged-20251128-184148/verus-repair.log
o4mini,OS,OS__process_manager__process_tree__proc_tree_wf_imply_root_is_in_upper_tree.rs,TIMEOUT,820909,claude,7642,2,postcondition_repair,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__process_tree__proc_tree_wf_imply_root_is_in_upper_tree-20251129-123704/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__process_tree__proc_tree_wf_imply_root_is_in_upper_tree-20251202-131959/verus-repair.log
o4mini,OS,OS__process_manager__container_tree__new_container_preserve_tree_inv_4.rs,TIMEOUT,819963,claude-s4,97815,4,postcondition_repair INSTANTIATE_FORALL SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv_4-20251129-044412/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv_4-20251204-094739/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path.rs,FAILED,817107,claude,211488,8,postcondition_repair USELEMMA INSTANTIATE_FORALL CASE_ANALYSIS ADD_TRIGGER_ASSERT CASE_ANALYSIS COMPUTE,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path-20251128-212336/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path-20251202-020951/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__lemma_inflight_unmap_vaddr_equals_hl_unmap.rs,FAILED,815428,gpt5,291944,8,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_EXISTS CASE_ANALYSIS CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__lemma_inflight_unmap_vaddr_equals_hl_unmap-20251127-234224/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__lemma_inflight_unmap_vaddr_equals_hl_unmap-20251127-204339/verus-repair.log
